height,weight,rank
163,83,3rd
168,92,3rd
139,82,6th
168,52,3rd
152,49,4th
196,96,1st
191,60,3rd
191,60,3rd
146,62,4th
192,109,2nd
170,61,1st
160,84,3rd
177,75,1st
135,104,6th
173,65,1st
135,56,6th
141,98,5th
195,107,2nd
164,54,1st
147,65,4th
160,53,1st
140,72,6th
154,100,4th
197,88,1st
194,93,1st
156,64,4th
151,109,4th
156,52,4th
189,80,1st
193,56,4th
195,82,1st
163,83,3rd
204,99,4th
181,98,2nd
161,78,3rd
187,79,1st
206,57,4th
161,62,1st
191,100,2nd
186,92,2nd
203,49,4th
162,99,4th
172,97,3rd
173,52,3rd
162,102,4th
162,49,2nd
150,63,4th
203,49,4th
152,86,4th
202,61,4th
163,46,3rd
155,108,4th
191,54,4th
169,71,1st
184,92,2nd
181,76,1st
182,80,1st
158,55,4th
205,100,4th
160,100,4th
178,82,2nd
201,81,1st
196,72,2nd
164,80,2nd
196,67,3rd
202,65,4th
201,87,1st
148,68,4th
179,65,1st
175,96,3rd
184,92,2nd
146,45,4th
163,56,1st
139,62,6th
189,97,2nd
146,95,4th
170,48,3rd
146,85,4th
201,69,3rd
195,48,4th
174,75,1st
159,107,4th
177,45,4th
138,97,6th
189,59,3rd
153,72,4th
177,102,3rd
199,99,1st
178,67,1st
193,100,2nd
203,70,3rd
135,51,6th
203,51,4th
164,70,2nd
148,78,4th
183,61,3rd
173,49,3rd
175,85,2nd
168,59,1st
145,91,5th
200,45,4th
187,103,2nd
137,83,6th
206,82,4th
186,91,2nd
144,67,5th
181,57,3rd
204,110,4th
138,48,6th
196,83,1st
141,64,5th
169,106,4th
162,61,1st
172,60,1st
184,110,3rd
184,92,2nd
190,71,2nd
183,78,1st
191,91,1st
176,61,2nd
171,65,1st
183,107,3rd
167,80,2nd
172,105,4th
179,50,4th
186,64,3rd
143,50,5th
175,100,3rd
161,100,4th
197,53,4th
185,101,2nd
168,92,3rd
190,100,2nd
191,46,4th
156,106,4th
142,93,5th
158,45,4th
203,104,2nd
155,51,4th
146,69,4th
145,85,5th
158,69,4th
175,64,1st
197,80,1st
146,60,4th
164,74,2nd
185,107,3rd
167,46,3rd
174,48,4th
199,108,2nd
196,85,1st
167,63,1st
157,62,4th
164,47,3rd
157,98,4th
192,101,2nd
176,53,3rd
148,98,4th
173,68,1st
186,87,2nd
148,81,4th
201,96,1st
156,69,4th
137,73,6th
181,47,4th
141,72,5th
140,61,6th
165,62,1st
136,55,6th
182,104,3rd
181,90,2nd
179,93,2nd
143,68,5th
191,100,2nd
184,96,2nd
181,53,3rd
188,73,1st
148,83,4th
135,75,6th
139,89,6th
142,72,5th
162,91,3rd
195,47,4th
173,105,4th
177,57,3rd
186,102,2nd
182,110,3rd
173,88,2nd
173,53,3rd
154,84,4th
157,55,4th
154,62,4th
144,108,5th
182,51,4th
198,87,1st
194,74,2nd
171,100,3rd
145,86,5th
175,107,3rd
195,74,2nd
168,109,4th
146,99,4th
146,96,4th
161,68,2nd
171,76,2nd
144,98,5th
147,99,4th
154,66,4th
146,85,4th
185,82,1st
152,96,4th
180,86,2nd
167,76,2nd
200,67,3rd
152,65,4th
140,71,6th
149,48,4th
197,95,1st
198,75,2nd
186,76,1st
152,110,4th
143,64,5th
178,66,1st
151,93,4th
156,77,4th
188,60,3rd
205,50,4th
160,48,2nd
179,107,3rd
181,66,1st
192,106,2nd
167,49,3rd
147,101,4th
173,95,3rd
147,59,4th
186,50,4th
156,99,4th
196,95,1st
163,53,2nd
166,60,1st
205,48,4th
156,58,4th
198,64,3rd
190,88,1st
147,77,4th
190,72,2nd
181,82,2nd
187,76,1st
137,108,6th
187,91,2nd
197,73,2nd
157,99,4th
157,55,4th
179,74,1st
191,71,2nd
182,94,2nd
180,83,2nd
148,110,4th
181,97,2nd
147,106,4th
148,63,4th
164,59,1st
141,57,5th
137,48,6th
165,83,3rd
152,58,4th
202,71,3rd
181,75,1st
193,50,4th
175,79,2nd
135,104,6th
165,62,1st
179,66,1st
186,67,2nd
190,94,2nd
148,110,4th
172,82,2nd
155,98,4th
205,67,4th
144,78,5th
154,53,4th
140,109,6th
196,46,4th
166,68,1st
193,47,4th
160,47,3rd
142,71,5th
190,110,3rd
198,54,4th
179,106,3rd
160,79,3rd
203,103,1st
136,87,6th
137,94,6th
138,105,6th
184,69,1st
203,72,3rd
186,93,2nd
197,48,4th
167,77,2nd
179,67,1st
192,84,1st
144,84,5th
153,66,4th
190,53,4th
179,103,3rd
185,49,4th
164,102,4th
190,95,2nd
163,64,1st
169,77,2nd
156,101,4th
167,100,4th
177,106,3rd
194,75,2nd
174,95,3rd
143,104,5th
169,109,4th
202,94,1st
155,92,4th
183,73,1st
201,45,4th
138,62,6th
167,90,3rd
202,74,3rd
178,95,2nd
176,73,1st
136,75,6th
169,94,3rd
188,62,3rd
182,85,2nd
165,109,4th
139,69,6th
141,93,5th
198,102,2nd
192,109,2nd
182,78,1st
138,69,6th
175,78,2nd
143,96,5th
178,73,1st
173,87,2nd
146,68,4th
179,83,2nd
163,100,4th
157,68,4th
198,74,2nd
135,68,6th
194,80,1st
196,83,1st
175,71,1st
199,70,3rd
164,49,3rd
189,94,2nd
168,52,3rd
185,67,2nd
152,62,4th
204,72,4th
171,72,1st
154,88,4th
154,107,4th
156,52,4th
138,52,6th
171,57,2nd
204,78,4th
195,85,1st
177,75,1st
184,51,4th
183,108,3rd
200,60,4th
177,49,4th
154,101,4th
148,53,4th
144,64,5th
152,64,4th
189,75,1st
193,109,2nd
176,63,1st
173,92,3rd
145,85,5th
149,49,4th
157,109,4th
152,56,4th
141,80,5th
168,80,2nd
145,78,5th
162,89,3rd
175,92,3rd
159,78,3rd
145,48,5th
151,79,4th
172,106,4th
136,86,6th
153,62,4th
193,92,1st
140,65,6th
156,60,4th
193,57,4th
154,66,4th
188,63,3rd
174,96,3rd
166,47,3rd
196,52,4th
155,103,4th
140,68,6th
140,108,6th
140,96,6th
175,58,2nd
147,75,4th
201,49,4th
159,104,4th
151,67,4th
205,72,4th
184,97,2nd
171,69,1st
177,74,1st
177,92,2nd
203,84,1st
145,81,5th
148,79,4th
177,72,1st
151,76,4th
161,49,2nd
192,48,4th
189,86,1st
167,67,1st
180,87,2nd
166,105,4th
153,102,4th
157,52,4th
166,75,2nd
154,98,4th
185,87,2nd
182,110,3rd
174,101,3rd
155,54,4th
189,55,4th
192,70,2nd
200,54,4th
138,88,6th
174,109,4th
201,67,3rd
145,94,5th
175,105,3rd
204,66,4th
163,58,1st
191,77,1st
161,54,1st
139,91,6th
169,93,3rd
164,97,4th
148,65,4th
148,89,4th
139,95,6th
138,84,6th
162,49,2nd
152,92,4th
183,78,1st
199,101,2nd
198,78,2nd
174,85,2nd
177,56,3rd
136,76,6th
187,74,1st
139,77,6th
142,65,5th
141,97,5th
171,103,4th
174,63,1st
160,105,4th
165,88,3rd
167,83,2nd
165,81,2nd
153,52,4th
164,57,1st
150,61,4th
178,72,1st
150,92,4th
182,50,4th
199,70,3rd
193,103,2nd
204,101,4th
154,105,4th
178,50,4th
140,76,6th
190,105,2nd
165,107,4th
168,69,1st
155,56,4th
174,66,1st
194,79,1st
205,79,4th
140,76,6th
168,67,1st
187,78,1st
180,89,2nd
151,80,4th
157,61,4th
143,97,5th
192,90,1st
147,79,4th
196,65,3rd
160,58,1st
135,56,6th
140,71,6th
187,97,2nd
155,72,4th
139,72,6th
206,104,4th
149,81,4th
159,64,2nd
179,85,2nd
141,109,5th
179,62,2nd
147,50,4th
165,55,1st
135,110,6th
147,88,4th
167,83,2nd
188,57,3rd
162,97,4th
143,98,5th
187,104,2nd
169,105,4th
159,47,2nd
205,81,4th
147,99,4th
205,63,4th
193,106,2nd
135,71,6th
170,51,3rd
142,94,5th
186,65,2nd
187,102,2nd
180,107,3rd
150,49,4th
147,105,4th
188,60,3rd
204,71,4th
185,58,3rd
146,82,4th
169,108,4th
136,72,6th
138,88,6th
140,68,6th
149,93,4th
161,106,4th
184,65,2nd
195,89,1st
166,88,3rd
174,49,3rd
141,59,5th
157,68,4th
177,86,2nd
142,77,5th
198,67,3rd
151,89,4th
162,81,3rd
187,86,1st
139,61,6th
178,106,3rd
193,81,1st
160,98,4th
202,81,2nd
191,46,4th
159,52,1st
164,46,3rd
201,71,3rd
182,71,1st
171,66,1st
180,46,4th
172,60,1st
191,88,1st
202,95,1st
145,51,5th
202,62,4th
157,102,4th
147,99,4th
161,102,4th
154,77,4th
161,56,1st
149,73,4th
184,85,2nd
170,51,3rd
183,85,2nd
178,54,3rd
201,47,4th
152,56,4th
143,72,5th
180,70,1st
193,104,2nd
174,77,2nd
182,75,1st
197,47,4th
198,66,3rd
179,92,2nd
192,53,4th
192,93,2nd
159,93,4th
147,90,4th
154,90,4th
153,103,4th
153,98,4th
157,87,4th
188,82,1st
149,74,4th
189,62,3rd
158,84,4th
155,86,4th
156,87,4th
204,58,4th
138,99,6th
154,60,4th
153,89,4th
181,78,1st
162,108,4th
163,49,3rd
184,99,2nd
169,88,3rd
195,84,1st
164,57,1st
148,104,4th
182,85,2nd
164,45,3rd
169,102,4th
197,109,2nd
148,97,4th
137,98,6th
156,75,4th
154,91,4th
141,87,5th
168,87,3rd
202,94,1st
179,45,4th
175,67,1st
141,91,5th
201,108,2nd
204,97,4th
199,76,2nd
170,104,4th
142,108,5th
136,106,6th
186,68,2nd
194,83,1st
165,51,2nd
180,103,3rd
181,88,2nd
182,84,2nd
184,54,4th
176,71,1st
171,78,2nd
159,92,4th
173,106,4th
172,100,3rd
186,49,4th
186,56,3rd
175,94,3rd
178,74,1st
183,100,2nd
183,52,4th
146,95,4th
195,59,4th
198,61,4th
185,49,4th
205,100,4th
144,58,5th
187,104,2nd
147,79,4th
151,85,4th
144,79,5th
176,97,3rd
178,61,2nd
187,88,2nd
197,82,1st
198,66,3rd
155,82,4th
167,63,1st
140,93,6th
139,90,6th
178,106,3rd
153,89,4th
179,58,3rd
205,48,4th
141,84,5th
174,52,3rd
155,105,4th
189,70,2nd
155,65,4th
184,103,3rd
172,52,3rd
166,102,4th
160,80,3rd
147,48,4th
198,56,4th
195,78,1st
176,76,1st
157,101,4th
190,75,1st
205,53,4th
166,100,4th
146,90,4th
190,81,1st
206,99,4th
138,91,6th
179,103,3rd
170,89,3rd
135,106,6th
143,93,5th
173,107,4th
167,61,1st
158,101,4th
194,105,2nd
136,45,6th
170,103,4th
195,68,3rd
196,60,4th
166,107,4th
203,62,4th
143,97,5th
191,98,2nd
174,63,1st
145,77,5th
205,55,4th
137,99,6th
164,108,4th
164,58,1st
156,61,4th
190,109,3rd
152,57,4th
202,62,4th
143,82,5th
187,102,2nd
167,81,2nd
202,75,3rd
184,53,4th
150,103,4th
160,95,4th
159,90,4th
180,96,2nd
188,104,2nd
167,56,1st
165,110,4th
182,57,3rd
154,46,4th
193,102,2nd
164,90,3rd
205,80,4th
173,50,3rd
141,107,5th
142,107,5th
175,88,2nd
181,87,2nd
192,93,2nd
158,63,4th
155,90,4th
183,83,1st
174,59,2nd
185,85,1st
177,48,4th
190,72,2nd
149,81,4th
148,67,4th
143,108,5th
202,108,2nd
178,108,3rd
163,49,3rd
164,78,2nd
184,53,4th
151,70,4th
174,57,2nd
157,49,4th
176,56,3rd
165,61,1st
141,84,5th
149,82,4th
138,108,6th
205,105,4th
161,72,2nd
195,96,2nd
144,62,5th
203,67,3rd
183,95,2nd
198,65,3rd
148,90,4th
167,93,3rd
175,58,2nd
179,66,1st
143,75,5th
156,48,4th
206,94,4th
168,69,1st
158,46,4th
189,74,1st
162,52,2nd
184,103,3rd
151,54,4th
164,102,4th
190,52,4th
189,65,3rd
154,76,4th
139,78,6th
153,54,4th
169,74,2nd
185,95,2nd
159,93,4th
139,85,6th
199,100,2nd
157,52,4th
141,107,5th
149,103,4th
191,88,1st
205,86,4th
203,96,1st
154,79,4th
149,105,4th
169,47,3rd
151,92,4th
181,73,1st
183,79,1st
144,53,5th
154,87,4th
149,78,4th
183,90,2nd
139,51,6th
167,95,3rd
166,96,3rd
152,79,4th
186,96,2nd
146,109,4th
157,86,4th
171,68,1st
162,55,1st
203,105,2nd
137,53,6th
154,95,4th
185,80,1st
181,56,3rd
148,45,4th
181,53,3rd
194,87,1st
152,78,4th
203,52,4th
144,90,5th
202,83,1st
138,100,6th
164,47,3rd
188,68,2nd
159,81,3rd
170,87,3rd
159,81,3rd
204,85,4th
135,58,6th
204,72,4th
164,53,2nd
181,56,3rd
166,80,2nd
139,55,6th
170,60,1st
205,51,4th
168,66,1st
148,98,4th
165,63,1st
191,87,1st
201,74,3rd
159,46,3rd
143,104,5th
137,106,6th
157,98,4th
186,47,4th
139,46,6th
183,74,1st
189,65,3rd
181,102,3rd
144,102,5th
185,80,1st
148,48,4th
135,50,6th
198,88,1st
195,64,3rd
135,86,6th
179,95,2nd
203,47,4th
153,85,4th
198,94,1st
185,52,4th
140,62,6th
190,47,4th
157,84,4th
157,74,4th
170,67,1st
196,95,1st
145,68,5th
153,60,4th
145,72,5th
203,75,3rd
155,109,4th
197,94,1st
201,63,4th
143,102,5th
142,80,5th
142,51,5th
172,91,3rd
200,52,4th
154,70,4th
186,64,3rd
175,80,2nd
135,64,6th
142,76,5th
202,94,1st
198,59,4th
141,62,5th
164,85,3rd
201,46,4th
172,76,2nd
185,95,2nd
150,79,4th
172,101,3rd
200,80,1st
191,81,1st
174,90,2nd
148,61,4th
185,96,2nd
192,107,2nd
199,87,1st
206,55,4th
191,51,4th
155,60,4th
154,71,4th
173,48,3rd
175,62,1st
149,76,4th
192,53,4th
201,106,2nd
205,72,4th
205,85,4th
137,90,6th
202,103,2nd
193,72,2nd
149,72,4th
147,98,4th
171,70,1st
195,62,3rd
166,57,1st
142,85,5th
189,52,4th
178,92,2nd
188,68,2nd
159,72,2nd
160,60,1st
169,53,2nd
153,90,4th
184,104,3rd
198,56,4th
192,94,2nd
135,61,6th
145,63,5th
154,46,4th
163,66,1st
143,72,5th
198,102,2nd
172,49,3rd
137,105,6th
202,91,1st
190,108,2nd
154,110,4th
201,95,1st
150,71,4th
188,60,3rd
180,107,3rd
137,66,6th
199,103,2nd
204,84,4th
178,101,3rd
180,60,2nd
159,68,2nd
159,73,2nd
188,68,2nd
157,59,4th
193,94,2nd
140,94,6th
191,70,2nd
140,69,6th
151,68,4th
174,64,1st
139,79,6th
157,93,4th
158,53,4th
202,53,4th
154,48,4th
193,95,2nd
146,107,4th
171,75,2nd
203,62,4th
172,71,1st
165,77,2nd
197,97,1st
157,88,4th
186,99,2nd
150,77,4th
161,67,2nd
204,75,4th
149,48,4th
145,77,5th
197,108,2nd
190,61,3rd
174,73,1st
164,65,1st
169,73,2nd
192,60,3rd
161,100,4th
205,93,4th
185,55,3rd
198,53,4th
203,66,3rd
190,87,1st
147,47,4th
163,100,4th
144,110,5th
155,60,4th
182,79,1st
176,58,2nd
173,100,3rd
182,87,2nd
204,81,4th
187,46,4th
184,106,3rd
202,76,2nd
201,69,3rd
141,88,5th
171,104,4th
171,52,3rd
167,54,2nd
189,92,2nd
204,48,4th
165,92,3rd
150,77,4th
165,91,3rd
168,103,4th
140,83,6th
156,57,4th
154,53,4th
170,81,2nd
198,76,2nd
202,78,2nd
181,88,2nd
200,109,2nd
140,54,6th
142,101,5th
147,76,4th
184,58,3rd
149,64,4th
191,87,1st
184,101,2nd
163,104,4th
194,97,2nd
206,110,4th
187,87,1st
183,62,2nd
172,62,1st
197,105,2nd
197,48,4th
180,63,2nd
169,47,3rd
182,64,2nd
183,65,2nd
170,96,3rd
172,96,3rd
159,51,1st
199,52,4th
205,64,4th
184,52,4th
199,50,4th
181,73,1st
156,51,4th
148,53,4th
170,104,4th
136,53,6th
157,105,4th
169,87,3rd
166,75,2nd
178,105,3rd
147,80,4th
164,86,3rd
197,106,2nd
146,83,4th
155,86,4th
206,99,4th
177,88,2nd
206,98,4th
172,51,3rd
188,49,4th
192,61,3rd
199,87,1st
160,99,4th
159,45,3rd
186,61,3rd
180,52,3rd
152,86,4th
196,70,3rd
166,97,4th
170,59,1st
191,75,1st
193,90,1st
204,82,4th
137,63,6th
142,51,5th
155,81,4th
137,79,6th
135,86,6th
175,110,4th
167,78,2nd
156,62,4th
145,64,5th
178,72,1st
205,48,4th
160,63,1st
144,87,5th
159,102,4th
169,95,3rd
151,104,4th
184,88,2nd
143,92,5th
138,98,6th
159,77,3rd
153,78,4th
147,72,4th
185,54,4th
188,61,3rd
184,57,3rd
187,73,1st
180,63,2nd
195,54,4th
171,45,4th
202,82,1st
189,77,1st
178,72,1st
152,54,4th
146,96,4th
145,82,5th
164,63,1st
141,83,5th
153,72,4th
154,51,4th
135,78,6th
185,73,1st
196,72,2nd
189,100,2nd
184,81,1st
138,73,6th
143,56,5th
175,110,4th
149,105,4th
146,58,4th
186,84,1st
170,50,3rd
176,61,2nd
203,50,4th
156,47,4th
179,98,3rd
140,80,6th
143,95,5th
169,75,2nd
178,68,1st
197,79,1st
195,104,2nd
137,62,6th
198,100,2nd
166,67,1st
171,89,3rd
153,80,4th
204,53,4th
165,65,1st
189,92,2nd
136,68,6th
188,103,2nd
190,71,2nd
202,73,3rd
145,93,5th
204,75,4th
136,61,6th
152,46,4th
178,88,2nd
164,54,1st
200,79,2nd
196,105,2nd
140,70,6th
146,61,4th
192,106,2nd
154,77,4th
162,95,4th
139,103,6th
182,45,4th
163,83,3rd
152,93,4th
160,101,4th
144,71,5th
205,105,4th
143,80,5th
154,101,4th
145,98,5th
144,80,5th
196,54,4th
200,50,4th
158,71,4th
164,66,1st
185,71,1st
153,50,4th
187,60,3rd
164,99,4th
183,59,3rd
144,47,5th
150,101,4th
157,99,4th
153,78,4th
164,64,1st
159,96,4th
199,53,4th
196,62,3rd
166,94,3rd
178,73,1st
193,54,4th
146,98,4th
171,105,4th
141,85,5th
152,74,4th
177,79,2nd
150,86,4th
182,56,3rd
172,78,2nd
168,75,2nd
144,95,5th
164,70,2nd
187,105,3rd
178,107,3rd
148,105,4th
150,96,4th
187,52,4th
157,107,4th
142,67,5th
174,47,4th
162,81,3rd
144,100,5th
180,107,3rd
174,55,3rd
170,101,3rd
189,86,1st
202,107,2nd
188,65,3rd
189,99,2nd
191,53,4th
173,66,1st
150,104,4th
156,45,4th
175,72,1st
198,102,2nd
196,49,4th
194,98,2nd
195,61,3rd
184,95,2nd
184,91,2nd
171,86,2nd
165,61,1st
164,94,3rd
186,79,1st
164,87,3rd
188,48,4th
173,54,3rd
201,74,3rd
147,89,4th
146,48,4th
176,106,3rd
187,56,3rd
135,92,6th
188,45,4th
157,69,4th
156,102,4th
145,90,5th
138,104,6th
185,74,1st
178,49,4th
197,58,4th
204,50,4th
200,58,4th
168,104,4th
172,104,4th
137,91,6th
195,85,1st
154,53,4th
187,102,2nd
162,84,3rd
180,108,3rd
202,59,4th
173,99,3rd
135,65,6th
158,66,4th
174,87,2nd
191,93,2nd
149,48,4th
164,58,1st
145,108,5th
170,92,3rd
195,56,4th
198,97,1st
204,106,4th
154,105,4th
173,50,3rd
157,93,4th
190,103,2nd
191,45,4th
185,62,3rd
192,78,1st
162,52,2nd
147,106,4th
162,53,1st
189,105,2nd
186,87,2nd
136,100,6th
145,48,5th
145,54,5th
201,51,4th
165,59,1st
154,77,4th
183,107,3rd
151,84,4th
193,83,1st
191,101,2nd
194,93,1st
151,98,4th
205,98,4th
153,96,4th
140,85,6th
184,99,2nd
163,53,2nd
167,102,4th
202,69,3rd
152,93,4th
158,74,4th
189,106,2nd
142,55,5th
188,48,4th
174,103,3rd
163,103,4th
136,64,6th
170,67,1st
201,81,1st
201,51,4th
164,80,2nd
156,81,4th
157,83,4th
143,82,5th
206,93,4th
151,68,4th
142,103,5th
198,101,2nd
190,81,1st
167,105,4th
200,92,1st
138,55,6th
191,53,4th
166,72,2nd
148,81,4th
165,97,4th
155,50,4th
199,52,4th
190,68,2nd
186,49,4th
145,106,5th
168,55,2nd
199,48,4th
198,77,2nd
156,48,4th
154,84,4th
204,66,4th
152,102,4th
156,50,4th
199,89,1st
186,105,3rd
139,60,6th
205,59,4th
185,65,2nd
190,85,1st
153,85,4th
206,98,4th
195,105,2nd
175,77,2nd
141,52,5th
197,70,3rd
187,50,4th
165,93,3rd
179,99,3rd
202,82,1st
147,53,4th
195,48,4th
142,109,5th
169,88,3rd
204,81,4th
174,66,1st
143,47,5th
147,63,4th
145,73,5th
177,63,1st
196,45,4th
204,65,4th
200,97,1st
171,66,1st
203,67,3rd
137,56,6th
145,73,5th
187,45,4th
150,103,4th
135,74,6th
157,76,4th
192,93,2nd
154,108,4th
190,92,2nd
160,62,1st
193,55,4th
200,102,2nd
152,91,4th
148,78,4th
192,62,3rd
153,94,4th
145,74,5th
181,102,3rd
189,98,2nd
136,70,6th
153,74,4th
157,83,4th
191,66,3rd
171,56,2nd
192,52,4th
185,98,2nd
176,83,2nd
192,99,2nd
188,99,2nd
146,63,4th
202,78,2nd
159,92,4th
145,104,5th
150,70,4th
135,85,6th
146,103,4th
189,47,4th
153,93,4th
199,67,3rd
137,86,6th
155,66,4th
151,80,4th
161,104,4th
203,72,3rd
149,110,4th
156,55,4th
181,97,2nd
169,110,4th
191,71,2nd
164,46,3rd
169,103,4th
142,66,5th
136,100,6th
199,97,1st
181,73,1st
151,58,4th
190,97,2nd
166,76,2nd
176,75,1st
204,53,4th
196,93,1st
191,95,2nd
171,105,4th
191,47,4th
197,80,1st
160,80,3rd
167,63,1st
202,60,4th
151,59,4th
167,103,4th
160,67,2nd
169,89,3rd
187,53,4th
142,108,5th
141,63,5th
200,93,1st
180,99,3rd
153,97,4th
156,98,4th
153,47,4th
163,98,4th
182,79,1st
175,92,3rd
175,71,1st
174,74,1st
166,72,2nd
138,92,6th
159,102,4th
146,51,4th
156,55,4th
140,99,6th
164,91,3rd
178,87,2nd
150,69,4th
157,45,4th
143,63,5th
158,93,4th
168,106,4th
141,45,5th
138,85,6th
171,78,2nd
195,49,4th
173,52,3rd
199,53,4th
183,99,2nd
152,98,4th
185,47,4th
140,94,6th
145,54,5th
158,82,4th
196,107,2nd
203,83,1st
141,64,5th
191,70,2nd
181,63,2nd
156,55,4th
169,91,3rd
181,74,1st
200,88,1st
206,106,4th
178,55,3rd
153,83,4th
168,47,3rd
140,93,6th
178,67,1st
138,48,6th
148,83,4th
135,104,6th
136,51,6th
156,51,4th
148,48,4th
200,89,1st
148,89,4th
179,95,2nd
143,66,5th
188,101,2nd
144,52,5th
136,109,6th
204,110,4th
193,79,1st
162,104,4th
196,62,3rd
192,98,2nd
205,66,4th
186,76,1st
186,55,4th
183,77,1st
189,59,3rd
189,84,1st
175,51,3rd
185,78,1st
141,45,5th
146,45,4th
200,64,3rd
142,53,5th
187,90,2nd
146,99,4th
189,105,2nd
198,92,1st
180,108,3rd
177,48,4th
166,94,3rd
137,52,6th
199,104,2nd
152,102,4th
151,106,4th
179,109,3rd
188,106,2nd
144,109,5th
154,46,4th
139,49,6th
178,79,1st
176,49,4th
137,50,6th
197,54,4th
172,89,3rd
156,52,4th
136,62,6th
146,74,4th
154,103,4th
178,54,3rd
137,107,6th
138,66,6th
206,86,4th
146,47,4th
164,93,3rd
163,68,2nd
177,103,3rd
174,48,4th
176,59,2nd
180,70,1st
188,64,3rd
205,65,4th
152,58,4th
205,74,4th
183,105,3rd
158,50,4th
194,97,2nd
146,55,4th
142,49,5th
187,55,4th
196,84,1st
156,97,4th
143,47,5th
159,108,4th
190,58,3rd
172,110,4th
181,94,2nd
168,59,1st
148,70,4th
193,92,1st
170,103,4th
160,96,4th
195,68,3rd
187,91,2nd
145,102,5th
189,67,2nd
160,70,2nd
135,71,6th
140,63,6th
174,46,4th
192,51,4th
159,51,1st
145,53,5th
142,80,5th
159,49,2nd
183,72,1st
197,92,1st
199,85,1st
160,102,4th
192,64,3rd
160,89,3rd
141,79,5th
160,48,2nd
138,68,6th
145,63,5th
155,70,4th
200,98,1st
201,58,4th
161,91,4th
167,70,2nd
194,54,4th
164,67,1st
195,106,2nd
135,62,6th
141,54,5th
163,76,2nd
200,83,1st
200,76,2nd
156,53,4th
171,49,3rd
173,106,4th
194,104,2nd
182,100,3rd
168,78,2nd
203,51,4th
148,99,4th
194,109,2nd
202,76,2nd
182,68,1st
179,72,1st
206,47,4th
175,105,3rd
189,59,3rd
161,86,3rd
161,68,2nd
188,65,3rd
202,55,4th
149,96,4th
161,98,4th
160,73,2nd
162,105,4th
181,55,3rd
192,77,1st
186,75,1st
173,102,3rd
193,79,1st
174,110,4th
204,108,4th
185,107,3rd
145,99,5th
186,45,4th
154,96,4th
193,100,2nd
177,73,1st
181,72,1st
178,100,3rd
185,89,2nd
169,76,2nd
151,97,4th
155,75,4th
193,99,2nd
179,92,2nd
153,79,4th
158,51,4th
203,54,4th
175,86,2nd
162,84,3rd
185,86,2nd
162,69,2nd
195,60,4th
192,61,3rd
135,110,6th
170,86,2nd
159,96,4th
185,90,2nd
159,84,3rd
167,95,3rd
204,77,4th
150,46,4th
155,87,4th
179,58,3rd
142,69,5th
168,59,1st
170,53,3rd
171,60,1st
155,100,4th
154,70,4th
147,90,4th
144,81,5th
157,110,4th
193,49,4th
182,55,3rd
158,54,4th
157,76,4th
136,110,6th
194,91,1st
143,48,5th
187,88,2nd
155,50,4th
164,46,3rd
167,109,4th
195,87,1st
198,100,2nd
166,74,2nd
198,105,2nd
186,70,1st
154,81,4th
205,106,4th
173,83,2nd
151,73,4th
136,63,6th
153,79,4th
156,94,4th
148,99,4th
186,71,1st
179,90,2nd
159,77,3rd
176,76,1st
161,55,1st
187,54,4th
183,60,3rd
141,69,5th
203,71,3rd
169,75,2nd
136,66,6th
167,67,1st
157,97,4th
200,84,1st
142,56,5th
152,108,4th
194,103,2nd
172,89,3rd
138,66,6th
146,89,4th
205,67,4th
158,52,4th
153,69,4th
143,87,5th
149,61,4th
139,88,6th
172,93,3rd
186,66,2nd
147,103,4th
150,72,4th
136,57,6th
136,73,6th
177,103,3rd
171,101,3rd
160,96,4th
170,75,2nd
169,110,4th
144,85,5th
171,62,1st
